LGA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
LGA31900,610,7,0,0,7,0,621,16,16,0,0,21,0,37,0,3,0,0,3,0,3,0,0,0,0,0,0,0,16,24,3,0,28,0,44,0,0,0,0,0,0,0,626,30,3,0,35,0,660,673,6,0,0,6,3,681,21,16,0,0,14,0,36,0,0,3,0,3,0,3,0,0,0,0,0,0,0,21,14,0,0,17,0,42,3,3,0,0,3,3,3,696,28,0,0,28,5,724,423,5,0,0,5,0,428,11,14,3,0,15,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,3,0,15,0,29,3,0,0,0,0,0,4,434,20,3,0,22,3,458,287,4,0,0,4,0,291,9,3,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,9,0,12,3,0,0,0,0,0,3,292,14,0,0,13,0,309,359,5,0,0
LGA31950,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,0,0,0,0,0,10,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
LGA32080,4815,161,3,3,164,9,4992,440,895,52,4,955,0,1393,15,122,125,4,256,0,268,3,0,0,0,4,0,12,458,1022,184,10,1214,0,1671,13,0,0,0,3,14,30,5286,1182,184,14,1380,29,6693,5208,162,4,3,176,13,5396,402,731,42,3,784,0,1188,6,69,94,0,167,0,177,3,6,0,11,17,0,21,416,812,137,11,966,0,1377,10,0,0,0,0,3,16,5637,980,141,16,1142,16,6795,3060,92,3,3,94,8,3156,206,396,22,3,422,3,627,0,35,62,0,102,0,102,4,3,0,5,8,0,8,210,439,87,11,526,3,737,8,0,0,0,0,4,14,3271,527,90,7,623,13,3911,1871,51,3,3,54,3,1930,137,223,18,0,236,0,375,4,21,41,0,59,0,62,0,0,0,0,0,0,3,142,244,54,3,302,0,446,5,0,0,0,0,8,7,2019,287,59,4,354,12,2384,2329,69,0,0
LGA32250,70,0,0,0,0,0,70,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,70,0,0,0,0,0,71,65,0,0,0,0,0,65,3,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,69,3,0,0,3,0,74,31,0,0,0,0,0,31,4,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,3,0,0,0,0,0,0,0,36,3,0,0,3,0,37,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,3,0,0,0
LGA32260,867,20,0,0,27,4,897,50,122,10,0,131,0,178,3,10,6,0,18,0,20,0,0,0,0,0,0,0,53,130,17,3,152,0,200,0,0,0,0,0,0,0,918,153,17,9,174,6,1105,967,26,0,0,30,5,1005,39,107,10,0,113,0,153,0,6,7,0,16,0,16,0,0,0,0,0,0,0,39,116,19,0,128,0,171,5,0,0,0,0,3,11,1017,141,20,0,157,12,1184,541,14,0,3,12,0,552,26,34,3,0,38,0,64,0,6,3,0,9,0,11,0,3,0,0,3,0,4,29,38,11,0,49,0,75,0,0,0,0,0,3,3,569,50,11,3,61,4,630,350,7,0,0,9,0,363,19,24,3,0,25,0,41,0,4,4,0,10,0,9,0,0,0,0,0,0,0,22,29,5,0,34,0,55,0,0,0,0,0,0,4,376,33,8,0,44,3,422,450,9,0,0
LGA32270,1678,8,0,0,8,3,1689,50,80,0,0,81,0,129,3,9,0,0,10,0,8,0,0,0,0,0,0,0,50,87,3,0,92,0,141,11,0,0,0,0,4,14,1736,102,3,0,100,7,1849,1632,16,0,0,16,4,1651,28,71,0,0,74,0,100,0,9,10,0,14,0,17,0,0,0,0,0,0,0,27,83,9,0,93,0,117,9,0,0,0,0,3,11,1671,99,9,0,110,5,1784,789,9,0,0,9,0,793,7,34,0,0,34,0,40,0,0,3,0,3,0,3,0,0,0,0,0,0,0,7,36,3,0,42,0,47,3,0,0,0,0,7,7,798,43,3,0,48,6,847,418,3,0,0,3,4,420,4,24,0,0,24,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,24,0,31,0,0,0,0,0,0,0,424,24,0,0,24,3,452,453,3,0,0
LGA32310,371,0,0,0,0,0,374,9,10,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,10,0,20,0,0,0,0,0,0,0,385,10,0,0,10,0,393,447,3,0,0,4,3,450,11,15,0,0,15,0,22,3,0,0,0,0,0,3,0,0,0,0,0,0,0,9,18,0,0,18,0,25,3,0,0,0,0,0,3,463,19,0,0,19,3,484,280,0,0,0,0,0,281,4,11,0,0,11,0,15,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,13,0,0,13,0,17,0,0,0,0,0,0,0,288,8,0,0,8,0,299,170,0,0,0,0,0,170,4,7,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,7,0,13,0,0,0,0,0,0,0,173,7,0,0,7,0,179,169,0,0,0
LGA32330,73,0,0,0,0,0,73,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,3,73,3,0,0,3,3,78,51,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,51,0,0,0,0,3,55,17,0,0,0,0,0,17,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,17,3,0,0,3,0,23,26,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,22,19,0,0,0
LGA32450,139,0,0,0,0,0,139,6,7,0,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,7,0,19,0,0,0,0,0,0,0,148,7,0,0,7,0,162,116,0,0,0,0,0,117,9,11,0,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,11,0,20,0,0,0,0,0,0,0,120,11,0,0,11,0,131,53,0,0,0,0,0,53,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,54,0,0,0,0,0,56,39,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40,27,0,0,0
LGA32500,101,3,0,0,3,0,105,13,4,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,4,0,21,0,0,0,0,0,0,3,112,5,0,0,5,3,124,132,3,0,0,3,0,135,5,10,0,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,10,0,17,0,0,0,0,0,0,5,144,16,0,0,16,3,156,72,0,0,0,0,0,72,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,71,8,0,0,8,0,82,32,0,0,0,0,0,32,3,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,7,0,0,0,0,0,0,0,41,3,0,0,3,0,38,35,0,0,0
LGA32600,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32750,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32770,112,0,0,0,0,0,113,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,112,3,0,0,3,0,115,138,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,3,0,0,3,0,144,75,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,72,34,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,31,14,0,0,0
LGA32810,325,4,0,0,4,0,331,14,21,0,0,21,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,0,0,19,0,35,0,0,0,0,0,0,0,342,26,0,0,26,0,370,372,13,0,0,14,0,380,21,23,0,0,23,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,0,0,26,0,46,0,0,0,0,0,0,0,395,35,0,0,38,0,427,208,0,0,0,0,0,212,3,8,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,12,0,11,0,0,0,0,0,0,0,208,8,0,0,12,0,226,114,0,0,0,0,0,113,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,117,7,0,0,7,0,123,142,0,0,0
LGA33100,37,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,39,0,0,0,0,0,39,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,42,0,0,0,0,0,48,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
LGA33200,76,0,0,0,0,0,76,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,82,0,0,0,0,0,79,56,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,56,29,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,29,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,12,0,0,0
LGA33220,2837,36,0,0,36,3,2878,78,118,0,0,122,0,195,3,5,3,0,7,0,11,0,0,0,0,0,0,0,78,130,3,0,132,0,210,6,0,0,0,0,5,12,2921,166,3,0,166,10,3097,3311,28,0,0,28,4,3340,87,117,0,0,113,0,204,3,6,3,0,6,0,10,0,0,0,0,0,0,0,96,117,3,0,120,0,218,0,0,0,0,0,7,7,3405,142,3,0,147,14,3567,2094,22,0,0,22,6,2127,47,40,0,0,49,0,95,0,0,0,0,0,0,3,0,3,0,0,3,0,3,53,45,4,0,50,0,99,0,0,0,0,0,0,4,2144,67,4,0,72,4,2228,1301,23,0,0,23,8,1328,29,24,0,0,25,0,53,0,5,0,0,5,0,7,0,4,0,0,4,0,4,28,29,0,0,35,0,58,0,0,0,0,0,0,3,1328,50,0,0,50,7,1386,1644,23,0,0
LGA33360,2794,47,0,0,45,0,2845,83,282,3,0,286,0,365,0,20,0,0,21,0,19,0,0,0,0,0,0,0,83,302,3,0,306,0,386,0,0,0,0,0,7,10,2874,349,3,3,353,3,3239,2937,40,0,0,40,3,2982,66,272,0,0,275,0,344,3,19,0,0,19,0,23,0,8,0,0,8,0,8,71,299,4,0,298,0,366,3,0,0,0,0,3,10,3013,335,4,0,337,7,3356,1680,15,0,0,15,6,1693,39,122,0,0,121,0,159,0,11,0,0,11,0,13,0,3,0,0,3,0,3,38,137,0,0,135,0,176,5,0,0,0,0,6,11,1728,148,0,0,152,6,1887,1048,7,0,0,7,8,1062,29,75,4,0,71,0,106,0,7,0,0,3,0,3,0,3,0,0,3,0,3,29,77,3,0,82,0,113,3,0,0,0,0,4,5,1077,91,3,0,93,8,1178,1218,16,0,0
LGA33430,19243,697,7,3,704,31,19978,1271,2766,135,17,2913,12,4200,27,266,111,3,381,0,414,13,14,0,3,16,0,31,1312,3048,251,24,3320,12,4640,21,3,0,0,3,22,45,20572,3743,257,23,4022,65,24661,19589,612,4,5,620,37,20249,1163,2301,116,6,2424,8,3594,25,217,100,3,324,0,343,9,9,0,6,16,0,23,1197,2528,217,14,2759,8,3959,21,4,0,0,4,34,54,20797,3141,222,19,3381,77,24261,10988,319,10,3,328,15,11329,556,1160,70,0,1236,6,1800,20,101,63,0,161,0,178,3,10,0,3,13,0,19,584,1265,137,6,1414,6,1997,16,3,0,0,3,24,43,11587,1588,143,14,1744,44,13367,6860,182,3,0,185,14,7055,346,729,46,0,771,0,1122,6,70,39,0,109,0,114,0,0,0,0,3,0,4,352,798,86,0,887,0,1242,11,0,0,0,0,10,14,7222,977,94,4,1069,22,8311,8982,196,3,3
LGA33610,488,0,0,0,0,4,491,9,19,0,0,19,0,28,0,6,0,0,5,0,5,0,0,0,0,0,0,0,9,22,0,0,19,0,32,0,0,0,0,0,0,0,495,22,0,0,19,3,518,547,0,0,0,0,3,544,0,18,3,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,23,0,23,3,0,0,0,0,0,5,544,18,3,0,23,4,574,297,0,0,0,3,0,295,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,297,3,0,0,3,0,303,141,3,0,0,0,0,141,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,7,0,0,0,0,0,0,0,141,7,0,0,11,0,150,154,0,0,0
LGA33620,1604,11,0,0,11,0,1615,47,35,3,0,37,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,35,3,0,40,0,82,3,0,0,0,0,3,9,1652,45,3,0,44,3,1706,1853,8,0,0,8,9,1871,35,32,0,0,33,0,71,5,3,0,0,3,0,6,3,0,0,0,0,0,3,42,35,0,0,36,0,82,6,0,0,0,0,3,7,1905,44,0,0,42,7,1958,1226,8,0,0,8,4,1242,18,18,0,0,15,0,34,3,0,0,0,0,0,3,0,0,0,0,0,0,0,26,18,0,0,15,0,42,0,0,0,0,0,0,0,1247,24,0,0,28,4,1283,750,6,0,0,6,3,757,9,12,0,0,12,0,22,0,0,3,0,3,0,4,0,0,0,0,0,0,0,10,12,3,0,12,0,27,3,0,0,0,0,0,3,766,13,3,0,17,3,783,866,11,0,0
LGA33800,319,11,0,0,11,0,330,6,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,11,0,0,0,0,0,0,0,326,16,0,0,16,0,344,374,7,0,0,7,0,383,8,12,0,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,12,0,21,0,0,0,0,0,0,0,381,24,0,0,24,0,408,250,8,0,0,8,0,259,3,7,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,7,0,9,0,0,0,0,0,0,0,253,10,0,0,10,0,266,147,5,0,0,5,0,155,5,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,9,0,0,0,0,0,0,0,158,10,0,0,10,0,169,228,9,0,0
LGA33830,5,12,0,0,12,0,14,0,39,0,0,39,0,39,0,3,0,0,3,0,3,3,0,0,0,0,0,3,3,38,0,0,38,0,43,0,0,0,0,0,0,0,8,45,0,0,45,0,57,0,4,0,0,4,0,4,0,45,0,0,45,0,45,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,44,0,0,44,0,44,0,0,0,0,0,0,0,0,46,0,0,46,0,53,0,0,0,0,0,0,0,0,22,0,0,22,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,0,22,0,0,0,0,0,0,0,0,25,0,0,25,0,24,3,0,0,0,0,0,3,0,15,0,0,15,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,19,0,0,0,0,0,0,0,0,15,0,0,15,0,15,0,0,0,0
LGA33960,8552,306,0,5,310,16,8886,414,1555,48,5,1608,4,2026,5,153,70,0,228,0,243,3,17,0,13,28,0,37,424,1732,122,19,1870,4,2297,8,5,0,0,5,7,21,8985,2041,124,22,2187,35,11206,7998,242,4,5,252,7,8261,335,1392,60,6,1460,12,1799,10,141,83,0,223,0,240,5,15,0,12,24,0,30,353,1539,148,26,1713,12,2074,16,0,0,0,0,10,29,8373,1783,149,28,1968,21,10363,4109,110,0,3,117,5,4226,146,727,55,4,794,0,943,3,70,61,0,129,0,138,0,3,0,9,13,0,16,157,807,121,13,942,4,1096,6,0,0,0,0,0,5,4269,918,123,18,1057,12,5334,2555,66,3,3,66,5,2628,91,417,41,4,460,4,553,4,53,39,0,90,0,95,0,4,0,5,8,0,6,95,473,77,8,562,3,661,0,0,0,0,0,3,4,2657,540,77,12,632,10,3296,3207,80,0,3
