LGA_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
LGA33100,27,0,0,27,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,27,0,0,0,27,3,0,3,31,0,0,31,4,0,0,0,7,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,34,3,0,3,39,0,3,48,4,0,0,0,4,0,0,0,4,0,0,4,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0
LGA33200,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,41,0,0,0,41,0,0,41,10,0,0,0,10,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,53,0,0,0,53,0,0,56,10,0,0,0,10,0,0,0,10,0,0,10,9,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,25,0,0,0,20,0,0,20,3,0,0,0
LGA33220,2043,190,7,2234,29,15,0,0,53,23,3,29,78,18,0,98,44,14,5,3,64,9,0,8,75,13,0,89,76,31,5,8,115,36,4,36,158,28,0,183,1624,364,60,42,2079,98,16,115,2201,221,7,2425,564,141,30,16,749,78,14,91,845,267,8,1119,3,0,0,3,7,0,0,0,7,0,17,23,2192,508,84,58,2841,176,36,209,3048,485,34,3567,457,78,13,7,557,14,3,20,575,62,3,644,548,124,14,10,691,29,3,38,729,72,3,806,19,4,5,0,35,0,0,0,37,0,0,37,9,0,0,9,18,0,0,0,18,3,0,18,1037,207,32,27,1301,46,10,53,1360,137,7,1505,16,4,0,0,25,17,0,23,46,18,0,62,23,5,3,0,25,10,0,5,34,11,0,51,39,10,3,0,49,22,3,32,79,31,0,108,1075,220,39,22,1351,68,12,81,1437,168,7,1610,256,60,13,7
LGA33360,1910,68,4,1983,51,5,0,4,62,24,8,31,91,3,0,94,121,4,0,0,129,6,0,11,138,0,0,137,170,17,0,4,186,32,10,43,233,9,0,235,1791,125,55,40,2018,116,10,119,2142,76,4,2224,807,74,15,30,926,89,5,94,1020,88,0,1113,6,0,0,3,8,0,0,0,8,0,14,22,2603,200,75,73,2954,205,14,216,3167,168,21,3356,459,24,14,3,498,21,0,22,516,16,0,530,577,42,21,10,649,28,0,28,681,19,0,695,23,3,14,0,42,0,0,0,42,0,0,42,12,0,0,4,12,0,0,0,18,3,0,22,1066,70,47,22,1198,54,0,54,1253,35,5,1290,29,7,0,3,40,7,0,7,50,3,0,49,58,3,3,0,68,3,0,6,70,0,0,71,87,10,3,5,100,15,0,18,119,5,0,128,1154,79,44,23,1301,68,3,66,1372,37,5,1412,319,28,12,17
LGA33430,16525,630,29,17175,210,47,4,7,270,49,3,54,323,26,0,351,520,66,5,8,610,27,7,36,648,32,0,682,734,117,16,16,879,81,14,95,970,56,0,1031,14650,1913,227,218,17012,398,84,484,17490,686,29,18204,4196,625,110,100,5024,193,31,225,5248,689,9,5949,19,7,0,10,32,3,0,3,39,3,68,109,18860,2546,339,327,22066,591,120,711,22774,1385,103,24261,3358,445,38,20,3858,86,13,100,3961,200,4,4169,4439,650,63,34,5178,89,18,105,5287,193,7,5486,119,23,34,0,172,10,0,10,177,15,0,196,52,8,0,51,108,5,0,5,107,13,3,121,7963,1123,133,100,9317,183,35,217,9531,420,12,9972,108,29,6,4,143,31,0,33,176,16,0,186,252,38,3,8,304,9,4,20,322,18,0,337,359,65,7,12,444,43,5,49,494,31,0,525,8326,1183,135,110,9759,229,39,269,10027,458,12,10499,1859,313,53,59
LGA33610,423,9,0,432,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,6,0,0,9,9,0,0,0,7,0,0,0,8,0,0,9,395,30,8,3,431,0,0,0,433,7,0,442,94,8,0,3,98,4,0,5,104,26,0,129,0,0,0,0,0,0,0,0,0,0,0,0,484,31,8,6,532,4,3,8,539,28,0,574,82,6,0,0,96,0,0,0,96,0,0,96,106,9,4,0,120,0,0,0,122,0,0,122,3,0,0,0,3,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,196,24,4,3,221,0,0,3,227,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,5,0,0,0,0,0,0,5,5,5,4,0,8,193,24,4,3,223,0,3,4,231,4,0,229,43,5,0,3
LGA33620,1132,71,0,1215,23,7,3,0,31,15,3,17,47,3,0,55,25,6,0,0,32,3,0,3,38,3,0,45,51,8,3,0,68,21,3,22,92,6,0,94,997,132,22,17,1167,48,7,58,1225,77,0,1306,333,77,32,17,457,28,14,43,500,138,0,643,0,0,0,0,3,0,0,0,3,3,3,7,1329,212,54,32,1631,81,21,100,1730,222,5,1958,243,28,5,4,277,5,6,13,285,17,0,306,361,64,12,0,442,9,0,8,449,44,0,489,10,12,0,0,19,0,0,0,20,3,0,21,3,3,0,12,15,0,0,0,18,0,0,18,619,95,20,16,746,17,9,18,771,66,0,838,9,3,0,0,13,5,0,4,22,4,0,30,20,0,0,0,26,0,5,5,29,0,0,26,33,8,0,0,38,5,3,9,50,6,0,57,645,105,18,16,786,20,10,32,819,68,0,887,189,33,15,8
LGA33800,291,7,0,297,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,0,8,0,0,0,8,0,0,8,7,4,0,0,14,0,0,0,14,0,0,15,269,26,0,8,299,0,3,3,301,12,0,310,70,4,3,0,83,0,0,0,83,14,0,95,0,0,0,0,0,0,0,0,0,0,0,0,340,28,7,12,376,3,3,3,379,20,3,408,71,5,0,0,75,0,0,0,75,3,0,79,108,13,0,0,123,4,0,4,124,4,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,23,0,0,198,4,0,4,199,4,0,209,5,0,0,0,7,0,0,0,10,0,0,8,4,0,0,0,4,0,0,0,3,0,0,3,11,0,0,0,13,0,0,0,15,0,0,14,185,24,0,0,207,6,0,3,210,5,0,222,22,3,0,5
LGA33830,22,3,0,19,0,0,0,0,0,3,0,3,8,0,0,8,0,4,0,0,6,3,0,4,7,3,0,11,0,6,0,0,7,8,0,9,14,3,0,19,12,11,0,0,20,8,3,15,37,6,0,41,5,0,0,0,5,8,0,8,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,0,26,15,3,22,44,6,0,53,5,0,0,0,5,0,0,0,5,0,0,5,0,3,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,10,0,0,0,8,0,0,8,0,0,0,0,0,3,0,3,3,0,0,3,3,0,0,0,6,0,0,0,7,0,0,7,3,0,0,0,6,4,0,4,3,0,0,3,9,3,0,0,13,4,0,3,16,0,0,16,3,0,0,0
LGA33960,6144,312,16,6476,178,32,6,9,222,37,0,37,261,16,3,279,224,29,0,10,264,27,11,35,300,7,3,313,400,59,6,18,485,66,11,75,562,26,5,592,5539,662,92,101,6390,258,56,315,6706,343,22,7067,2142,379,49,72,2641,130,22,150,2794,425,8,3231,13,5,0,6,27,0,0,0,27,3,29,61,7694,1046,141,184,9059,390,79,470,9524,774,61,10363,1300,164,19,10,1493,54,11,60,1557,115,4,1670,1407,172,20,12,1614,31,7,38,1649,74,5,1732,56,5,15,0,79,4,0,4,80,7,0,94,15,4,0,29,44,3,0,3,53,6,3,60,2781,345,50,56,3231,91,14,107,3336,208,11,3552,94,11,0,3,112,28,0,28,141,12,0,148,77,15,0,10,98,9,10,17,118,5,0,124,171,24,0,9,213,34,10,47,257,13,0,272,2954,370,55,65,3441,126,25,149,3596,221,8,3828,877,181,32,36
LGA33980,911,12,0,929,15,3,3,0,21,0,0,0,18,0,0,22,41,0,3,0,46,0,0,0,48,0,0,48,53,3,3,0,66,3,0,3,70,0,0,68,853,63,33,10,965,17,0,17,980,16,0,995,352,21,25,4,407,9,0,9,413,9,0,423,7,0,0,3,9,0,0,0,9,0,0,7,1215,85,59,17,1381,21,0,21,1401,18,0,1425,140,5,3,0,148,3,0,3,151,3,0,155,244,28,7,0,281,3,0,3,277,3,0,282,6,3,7,0,15,0,0,0,15,0,0,16,3,0,0,0,8,0,0,0,8,0,0,8,396,36,12,8,449,3,0,3,448,6,0,461,10,0,0,0,10,0,0,0,10,0,0,10,22,0,0,0,24,0,0,0,24,0,0,24,30,0,0,0,34,0,0,0,34,0,0,34,424,34,12,8,475,3,0,3,480,6,0,488,120,9,5,0
LGA34420,12,3,0,13,3,0,0,0,3,5,0,5,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,5,0,5,8,0,0,8,12,3,0,0,14,8,0,8,22,4,0,26,6,3,0,0,8,3,0,3,10,9,0,23,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,23,11,0,11,35,13,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,3,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,6,3,5,0,0,10,3,0,3,15,0,0,18,0,0,0,0
LGA34530,1088,45,0,1134,14,0,0,0,17,7,0,7,24,0,0,30,29,3,0,0,34,0,0,0,34,0,0,34,48,3,3,4,53,7,0,7,61,0,0,63,977,94,24,22,1124,21,0,27,1150,44,0,1198,196,31,11,5,245,12,3,17,262,51,0,308,3,0,0,0,6,0,0,0,6,0,0,3,1177,127,42,24,1372,37,7,49,1418,96,0,1512,257,19,3,4,285,5,0,6,295,17,0,311,280,29,10,3,325,13,0,13,340,12,0,358,7,0,6,0,11,0,0,0,11,0,0,7,0,0,0,6,8,0,0,0,8,0,0,8,545,50,20,11,632,19,0,22,651,31,0,684,12,0,0,0,13,3,0,3,22,0,0,23,14,0,0,0,17,4,0,3,20,0,0,20,29,0,0,0,32,5,0,4,36,0,0,39,573,54,22,11,662,23,3,29,694,32,0,726,115,20,3,4
LGA34570,14,4,0,15,0,0,0,0,0,6,0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,6,7,0,0,5,14,6,0,6,24,4,0,29,4,5,0,3,11,0,0,0,11,11,0,22,0,0,0,4,4,0,0,0,4,0,4,3,14,3,0,14,28,6,0,6,36,13,4,51,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,3,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,12,0,0,0,12,0,0,16,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,8,0,0,3,12,3,0,3,19,0,0,14,0,0,0,3
LGA34580,1009,57,0,1068,14,4,0,0,19,3,0,3,22,8,0,26,40,3,0,0,44,3,0,3,50,3,0,53,54,10,0,0,70,8,0,6,77,5,0,86,911,100,24,20,1054,25,4,29,1081,66,0,1152,352,57,14,12,434,35,7,36,470,100,0,570,6,0,0,0,5,0,0,0,5,0,0,11,1265,160,33,27,1493,64,9,72,1565,162,4,1732,227,14,7,4,254,5,0,5,257,12,0,273,295,43,6,8,347,4,0,6,352,18,0,371,10,3,3,0,18,0,0,0,18,0,0,18,4,0,0,4,9,0,0,0,9,0,3,13,532,68,17,18,632,12,0,8,640,29,7,677,9,0,0,0,12,3,0,3,14,4,0,20,24,0,0,3,31,0,0,0,31,3,0,30,32,7,0,3,42,3,0,3,43,7,0,47,567,72,15,15,669,11,0,14,679,35,7,719,180,35,16,3
LGA34590,9269,418,11,9704,205,35,0,3,249,68,0,69,314,26,3,337,329,57,7,8,400,45,7,47,450,22,0,469,530,89,10,11,646,107,12,115,759,43,3,810,8306,1044,149,167,9662,301,66,362,10027,465,17,10513,3355,574,84,107,4128,263,54,314,4439,827,11,5287,17,0,0,20,35,0,3,3,35,10,57,104,11681,1621,230,292,13826,564,115,682,14508,1304,89,15899,2129,198,30,14,2368,52,15,66,2431,190,3,2624,2223,283,29,24,2562,48,10,55,2617,138,0,2753,92,23,17,0,129,3,0,4,136,10,0,147,32,10,0,51,90,0,0,0,89,13,8,112,4467,508,73,97,5152,105,21,126,5274,347,8,5627,129,30,0,4,161,26,3,28,192,13,0,206,149,37,0,7,191,17,0,19,209,21,0,237,282,62,6,7,351,43,3,51,405,38,0,440,4749,568,80,106,5501,146,28,174,5675,380,8,6067,1484,277,48,59
LGA34710,116,5,0,124,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,110,7,3,5,119,0,0,0,119,5,0,124,31,0,3,0,33,0,0,0,33,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,133,7,5,5,150,0,0,0,150,7,0,157,39,4,0,0,42,3,0,3,43,3,0,41,23,0,0,0,29,0,0,0,29,0,0,29,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,64,4,0,3,70,3,0,3,67,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4,0,3,70,3,0,3,74,3,0,79,11,0,0,0
LGA34770,3424,110,3,3537,68,16,0,3,83,18,0,18,96,16,0,112,150,11,0,3,162,10,3,11,176,7,0,176,211,25,0,8,244,21,3,27,273,19,0,292,3166,252,69,81,3566,119,11,126,3695,125,3,3825,1016,84,33,42,1174,74,4,79,1249,102,4,1358,9,0,0,0,12,0,0,0,8,0,10,17,4188,334,101,120,4748,194,12,208,4954,222,19,5196,712,51,18,0,781,29,3,36,817,36,0,846,1093,105,24,11,1240,25,0,29,1268,31,0,1297,28,0,8,3,40,0,0,0,40,0,0,37,7,3,4,28,37,0,0,0,37,0,0,45,1841,158,54,39,2097,61,7,61,2158,66,0,2223,40,6,0,0,43,4,0,4,51,7,0,60,71,3,0,3,76,8,3,15,90,5,0,96,110,8,0,3,126,16,3,19,144,15,0,156,1954,166,54,43,2217,74,10,82,2302,78,0,2383,470,38,5,12
LGA34800,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,31,0,0,31,10,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,43,0,0,0,43,0,0,43,10,0,0,0,10,0,0,0,10,0,0,15,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,12,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,12,0,0,18,0,0,0,0
LGA34830,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,6,4,0,4,8,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,4,0,4,13,3,0,15,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0
LGA34860,515,14,0,521,0,0,0,0,0,4,0,4,3,0,0,3,7,3,0,0,8,0,0,0,8,0,0,8,7,3,0,0,9,4,0,4,17,0,0,17,456,47,6,3,516,14,0,14,527,14,0,536,93,5,5,0,112,3,0,3,112,23,0,132,0,0,0,0,0,0,0,0,0,0,0,0,552,55,13,9,624,15,0,15,640,31,0,672,140,8,0,0,147,0,0,0,155,3,0,153,94,5,0,0,103,4,0,4,106,8,0,108,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,239,12,0,3,258,3,0,3,262,12,0,270,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,0,3,0,0,3,247,12,0,3,263,9,0,9,265,12,0,280,26,0,4,0
LGA34880,547,26,0,580,4,0,0,0,8,3,0,7,9,3,0,9,4,0,0,0,7,7,0,7,11,3,0,17,9,0,0,0,16,11,0,11,21,3,0,27,461,72,16,7,556,12,0,20,572,33,0,607,113,30,3,3,153,17,4,17,174,64,0,233,0,0,0,0,0,0,0,0,0,0,6,8,583,102,14,11,710,27,5,34,744,93,10,848,150,17,3,0,172,0,3,0,176,6,0,185,142,32,3,10,187,0,0,0,190,15,0,205,3,3,0,0,3,0,0,0,4,0,0,9,3,0,0,3,6,0,0,0,9,3,0,8,294,54,9,9,368,3,0,9,376,28,0,404,3,0,0,0,4,5,0,5,9,0,0,7,3,0,0,0,3,0,0,0,5,0,0,6,6,0,0,0,7,6,0,6,16,3,0,17,302,60,9,9,378,7,0,13,388,27,0,416,47,13,0,3
LGA35010,14128,597,27,14745,231,31,6,8,276,57,3,65,336,31,0,370,453,59,6,11,535,37,10,45,578,37,0,613,681,93,14,21,814,93,12,105,917,66,0,984,12791,1374,244,205,14612,356,86,437,15050,663,28,15732,4314,499,148,128,5087,206,39,246,5335,671,14,6019,13,3,0,9,26,0,0,0,26,4,43,76,17119,1872,394,337,19723,559,127,686,20407,1333,92,21827,3031,322,42,25,3427,67,15,87,3514,204,0,3716,3981,430,67,25,4500,78,14,89,4593,168,9,4770,119,26,31,3,179,5,0,5,182,13,0,194,45,13,0,46,98,0,0,0,97,9,3,106,7168,785,146,93,8197,156,32,185,8378,400,13,8789,137,17,6,8,159,45,3,44,207,18,0,220,224,27,7,10,266,14,7,22,285,21,0,306,361,39,10,16,422,62,11,67,489,37,0,530,7531,828,154,110,8621,209,34,249,8871,438,13,9322,1929,236,57,61
LGA35250,20,3,0,22,0,0,0,0,0,4,0,4,4,3,0,10,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,9,0,9,9,3,0,11,18,6,0,0,19,7,0,7,30,3,0,33,11,9,0,0,19,12,0,12,28,9,0,34,4,0,0,0,4,0,0,0,4,0,8,8,29,12,0,0,44,19,0,19,56,11,8,77,9,0,0,0,9,0,0,0,11,6,0,10,3,0,0,0,3,0,0,3,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,9,0,0,3,17,5,0,25,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,5,15,0,0,0,11,3,0,3,17,8,0,27,8,4,0,0
LGA35300,609,24,0,629,4,0,0,0,8,3,0,3,9,0,0,9,14,4,0,0,19,3,0,3,19,0,0,19,19,3,3,0,30,4,0,4,37,0,0,37,579,23,13,17,631,7,3,9,643,24,0,662,193,7,4,11,210,8,0,10,222,12,0,238,3,0,0,0,3,3,0,3,4,0,0,5,773,34,14,22,844,15,3,24,868,38,0,903,163,3,5,0,169,6,0,6,177,6,0,183,162,11,0,3,175,3,0,3,177,3,0,182,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,4,7,0,0,0,7,0,0,7,327,16,6,5,355,11,0,11,360,13,0,373,3,0,0,0,3,3,0,3,5,0,0,5,9,0,0,0,14,0,0,0,14,0,0,14,11,0,0,0,18,6,0,6,22,0,0,22,338,17,11,5,369,11,0,11,384,13,0,395,91,5,3,0
