LGA_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
LGA31900,4,424,29,455,31,1027,75,1140,10,492,29,530,15,433,40,482,11,758,74,846,25,891,74,990,49,1052,101,1203,62,1118,91,1268,98,840,98,1043,82,399,57,546,58,86,24,173,455,7512,703,8673,3,392,29,428,26,924,68,1012,3,474,26,501,7,383,35,428,15,759,54,824,25,875,64,958,46,1011,91,1149,73,1061,92,1220,65,817,99,979,120,415,69,603,136,110,51,293,506,7210,681,8402,10,814,63,881,61,1946,142,2153,14,968,52,1031,21,813,79,915,24,1519,128,1673,50,1762,140,1946,94,2062,193,2349,131,2176,186,2493,168,1659,199,2023,205,817,128,1153,191,195,73,463,964,14727,1386,17074
LGA31950,0,8,0,11,0,15,8,19,0,10,0,12,0,11,7,14,0,16,9,26,0,24,4,33,0,23,0,22,0,22,9,32,0,15,0,15,0,0,0,0,0,0,0,0,3,144,39,183,0,7,0,7,0,9,5,17,0,3,0,7,0,11,3,12,0,22,6,24,0,11,3,19,0,21,3,20,0,17,5,27,0,9,0,11,0,0,0,0,0,0,0,0,0,113,31,144,0,17,0,14,0,29,13,38,0,10,0,15,0,17,6,29,0,39,12,52,0,39,9,46,0,38,3,47,0,45,17,60,0,23,0,22,0,3,0,3,0,0,0,0,7,257,67,328
LGA32080,64,4738,484,5284,476,9851,887,11212,144,4467,434,5045,107,3938,486,4531,207,8748,1164,10123,253,9260,1079,10599,377,9632,1180,11183,506,8036,942,9482,586,5355,654,6599,508,1835,289,2629,259,357,83,698,3486,66221,7681,77390,35,4446,459,4940,200,9603,870,10665,91,4268,406,4762,62,4048,503,4618,158,9903,1149,11202,228,10743,1126,12096,369,10256,1073,11700,517,8100,925,9542,539,4900,588,6026,609,1745,331,2682,654,454,174,1284,3452,68465,7591,79508,97,9187,942,10221,669,19456,1759,21880,238,8730,836,9803,169,7989,989,9148,358,18653,2314,21325,483,20001,2207,22691,745,19892,2246,22880,1023,16135,1863,19022,1123,10256,1243,12624,1119,3579,615,5312,919,811,253,1981,6940,134690,15273,156901
LGA32250,0,57,10,62,0,119,20,141,3,39,10,48,0,57,7,68,3,104,15,121,3,94,15,112,6,118,12,143,3,118,16,139,19,91,9,116,6,32,8,41,3,6,0,9,45,842,119,1003,0,65,3,72,0,114,16,129,0,40,9,46,0,56,12,68,0,116,12,132,0,112,13,120,3,132,15,151,4,103,11,120,12,58,9,81,6,18,3,23,0,0,0,0,29,817,106,947,0,123,12,132,0,232,40,273,3,83,18,97,0,115,20,135,4,221,30,259,3,206,30,240,10,251,32,295,7,221,29,260,25,148,21,193,9,45,10,64,3,5,0,10,72,1660,224,1958
LGA32260,6,765,94,865,84,1638,186,1907,23,710,72,809,10,683,71,769,30,1350,213,1594,38,1305,174,1518,105,1750,222,2083,151,1956,220,2328,160,1381,189,1735,153,673,86,909,122,106,21,256,895,12326,1549,14769,8,657,93,760,32,1533,172,1732,9,677,70,752,10,584,72,666,17,1379,175,1571,41,1408,184,1630,81,1722,176,1971,121,1808,224,2149,139,1234,158,1530,191,546,62,799,221,143,25,392,869,11679,1410,13961,12,1415,189,1622,113,3168,359,3644,32,1388,138,1562,21,1263,140,1435,47,2732,385,3164,84,2710,355,3148,184,3467,396,4050,268,3766,443,4483,301,2616,350,3266,344,1223,151,1712,346,246,51,647,1758,24003,2960,28726
LGA32270,20,1097,161,1275,75,1954,252,2290,23,713,103,843,9,748,117,873,25,1954,361,2342,21,1823,364,2214,43,1764,350,2154,56,1340,215,1613,66,642,94,804,42,215,44,303,21,38,11,65,403,12286,2073,14756,3,1099,121,1223,33,1860,238,2135,11,627,89,726,7,722,114,842,19,1989,288,2297,27,1659,236,1924,34,1545,240,1815,58,1105,161,1328,44,504,69,620,43,169,42,256,27,32,14,67,312,11318,1611,13240,23,2199,281,2497,109,3820,491,4423,31,1344,195,1571,17,1467,232,1720,46,3938,651,4634,52,3483,603,4135,76,3304,591,3964,119,2451,373,2939,115,1145,164,1424,88,387,86,558,50,61,22,133,715,23597,3683,27999
LGA32310,3,310,42,350,25,865,78,972,14,418,22,455,4,235,36,279,19,469,65,557,27,567,92,689,33,580,82,694,78,655,68,796,86,517,71,674,68,234,37,341,33,31,10,76,387,4885,608,5885,0,267,37,307,13,825,85,922,3,392,37,433,4,242,32,273,15,542,68,629,22,627,93,736,36,692,92,820,56,630,78,764,73,494,75,638,85,209,44,335,65,49,14,133,375,4966,652,5992,3,573,79,656,44,1687,167,1899,20,809,61,893,10,482,69,553,28,1020,142,1187,50,1191,180,1420,67,1271,174,1513,134,1287,143,1563,154,1018,146,1313,159,440,77,675,98,85,27,211,763,9850,1262,11876
LGA32330,0,94,3,95,6,146,0,155,0,73,0,73,0,40,12,51,0,62,5,66,3,64,0,67,3,55,0,64,3,40,0,42,3,7,0,8,3,0,0,3,0,0,0,0,22,576,24,628,0,76,0,73,3,129,3,133,0,60,0,60,0,56,12,65,0,82,6,83,0,77,4,80,0,61,0,66,7,32,0,44,5,24,0,27,3,0,0,5,5,0,0,5,24,587,23,635,0,167,7,175,7,273,6,289,0,127,3,134,0,99,26,122,0,138,5,148,3,135,4,146,8,113,3,121,9,71,0,82,10,22,0,37,5,0,0,10,5,0,0,5,52,1165,49,1269
LGA32450,0,112,18,132,6,147,21,176,5,70,9,88,0,91,8,103,0,257,46,308,3,209,48,262,4,206,33,243,3,191,35,229,7,103,20,129,4,23,8,28,4,7,7,11,31,1414,258,1706,0,87,17,109,0,168,32,201,0,52,15,64,0,77,23,100,0,212,34,245,0,136,25,167,3,149,23,168,3,131,31,159,5,64,12,77,3,21,7,30,3,0,3,7,13,1097,215,1327,0,203,36,240,9,321,51,374,5,121,23,145,0,173,30,202,3,469,82,551,3,349,71,422,7,353,58,416,5,316,59,385,6,168,34,206,4,42,14,64,6,5,8,20,52,2510,471,3032
LGA32500,0,106,29,133,3,207,31,237,0,90,22,111,3,109,46,159,4,203,50,264,3,217,50,275,11,247,53,317,21,262,59,335,35,242,61,341,17,61,10,91,7,3,3,18,110,1753,413,2273,0,87,29,122,6,246,38,291,0,66,13,84,0,100,29,127,3,214,49,270,4,201,25,232,10,211,29,249,20,278,56,348,11,124,22,166,6,33,6,50,8,5,4,18,69,1580,304,1950,3,198,59,258,6,449,68,526,0,159,37,194,3,212,78,291,10,418,102,528,10,421,72,507,19,462,80,563,37,542,114,686,48,366,83,506,21,94,22,136,12,15,5,31,172,3330,716,4226
LGA32600,0,6,3,10,0,14,6,16,0,0,0,4,0,10,4,11,0,12,4,21,0,15,8,22,0,15,7,20,0,19,8,32,0,5,0,8,0,0,0,3,0,0,0,4,10,100,41,148,0,7,4,9,0,23,7,27,0,0,0,0,0,5,0,8,0,16,7,18,0,15,4,23,0,14,10,26,0,15,5,20,0,7,3,10,0,0,0,3,0,0,0,0,3,102,37,145,0,11,3,14,0,34,11,43,0,0,0,4,0,18,4,24,0,27,15,37,0,31,16,45,0,30,12,49,0,36,13,49,0,18,3,20,3,3,0,4,0,0,0,4,12,203,81,294
LGA32750,0,13,4,15,0,15,0,15,0,14,0,17,0,14,0,20,0,21,0,22,0,19,0,18,0,17,3,18,0,16,0,18,0,5,0,9,0,0,0,0,0,0,0,0,0,131,18,150,0,13,0,11,0,12,0,12,0,11,5,14,0,11,8,13,0,20,4,26,0,17,0,17,0,18,7,23,0,14,6,14,0,3,3,5,0,0,0,0,0,0,0,0,0,108,27,142,0,20,3,25,0,29,0,29,0,25,8,32,0,29,9,38,0,37,6,43,0,36,0,33,0,32,11,42,0,23,10,36,0,13,3,17,0,0,0,0,0,0,0,0,0,241,50,291
LGA32770,0,95,0,95,0,217,4,219,0,49,0,47,0,65,3,69,0,90,3,96,0,86,4,87,0,42,0,39,3,39,0,39,6,11,0,13,3,0,0,5,0,0,0,0,11,687,14,707,0,73,3,78,0,147,3,153,0,74,0,75,0,53,3,54,0,120,4,127,0,90,0,85,3,54,4,59,6,31,0,39,5,10,0,15,5,0,0,3,0,0,0,0,22,654,18,692,0,172,3,175,0,358,5,369,0,117,0,119,0,119,5,126,0,215,4,222,0,169,3,177,9,93,4,102,5,69,0,80,8,16,0,24,7,5,0,12,0,0,0,0,27,1337,34,1405
LGA32810,0,271,56,333,21,602,94,714,7,243,24,274,6,205,32,247,4,602,101,707,24,645,102,776,34,757,107,896,45,801,146,989,50,530,81,665,36,209,54,298,14,40,21,72,241,4890,824,5960,0,240,44,284,8,513,84,601,0,223,34,257,3,218,43,268,5,654,149,810,15,683,107,800,25,777,111,915,33,751,121,904,44,467,86,595,34,166,42,237,22,24,35,86,185,4719,851,5758,0,513,103,619,26,1115,174,1314,3,460,60,529,11,428,76,511,15,1259,251,1520,33,1331,207,1573,59,1527,224,1810,81,1544,267,1893,95,1004,167,1259,70,367,92,535,35,64,57,159,428,9608,1683,11714
LGA33100,0,26,0,29,0,40,3,44,0,21,0,18,0,14,0,19,0,43,8,53,0,32,6,37,3,59,7,66,7,66,4,74,3,55,12,71,5,16,0,26,0,0,0,0,18,369,52,435,0,25,3,27,0,41,12,51,0,9,0,13,0,10,0,10,0,46,8,56,0,32,6,40,4,49,5,56,3,47,5,54,0,33,3,42,3,8,0,15,0,3,0,4,14,310,39,369,0,50,7,58,0,80,11,94,0,27,0,32,0,25,0,27,0,91,16,112,0,62,11,74,6,105,12,126,6,110,12,127,9,90,12,108,4,27,4,41,0,4,0,3,29,681,94,799
LGA33200,0,46,7,53,0,67,8,76,0,41,3,45,0,50,8,59,0,78,7,92,0,69,5,80,0,108,9,112,0,104,8,121,6,80,10,95,9,29,0,36,4,4,0,12,32,677,69,777,0,51,8,57,3,66,8,72,0,32,3,29,0,38,5,46,0,77,13,93,5,69,8,79,0,99,9,112,5,87,5,98,8,96,11,110,11,31,3,41,10,9,0,21,36,649,68,756,0,91,22,115,8,132,15,151,0,72,3,70,0,85,17,103,4,156,17,179,4,138,12,156,4,202,19,223,6,198,16,215,15,175,19,206,17,61,0,78,12,10,0,28,65,1326,141,1536
LGA33220,50,2240,204,2495,419,5384,458,6252,185,2439,207,2834,144,1794,276,2204,226,3467,527,4221,302,4185,636,5121,512,4989,586,6086,841,5887,677,7402,1197,6196,709,8103,813,2839,365,4007,383,523,134,1046,5069,39930,4767,49773,29,2213,195,2434,234,5235,399,5859,118,2421,196,2734,78,1830,165,2069,169,3953,344,4469,287,4859,438,5584,477,5839,538,6851,822,6712,634,8170,905,6420,705,8031,848,2831,335,4009,778,565,168,1513,4734,42870,4129,51730,82,4452,393,4930,649,10617,855,12112,299,4860,406,5564,217,3621,442,4275,397,7421,874,8687,585,9044,1068,10698,986,10825,1127,12938,1665,12602,1316,15576,2106,12614,1419,16133,1653,5668,696,8018,1162,1084,304,2553,9806,82797,8897,101504
LGA33360,31,2100,190,2321,188,4218,343,4748,73,1821,154,2038,48,1689,154,1893,55,3730,351,4141,103,3986,384,4470,129,4239,463,4831,187,3463,347,3994,194,1819,159,2175,159,624,69,849,92,78,14,186,1258,27761,2620,31647,26,2079,176,2281,100,4167,320,4593,32,1577,146,1760,20,1572,145,1739,54,3996,363,4414,93,3926,361,4376,155,3866,354,4380,174,2838,261,3275,188,1620,166,1980,181,612,79,873,176,125,17,325,1215,26381,2399,29989,58,4178,372,4606,285,8384,668,9338,106,3399,299,3803,71,3259,302,3638,110,7730,713,8552,194,7915,738,8849,288,8103,819,9209,361,6303,607,7270,387,3438,327,4150,338,1236,146,1721,270,200,36,509,2474,54147,5023,61640
