LGA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
LGA31900,18,450,61,530,27,409,48,482,48,716,77,846,92,805,90,990,140,965,99,1203,154,995,115,1268,93,783,165,1043,49,391,103,546,16,118,41,173,644,5636,801,7079,28,417,57,501,25,375,31,428,85,691,49,824,139,751,69,958,215,840,94,1149,277,834,109,1220,152,679,146,979,60,429,120,603,5,206,81,293,989,5214,760,6960,47,864,117,1031,47,782,84,915,135,1411,128,1673,229,1552,163,1946,348,1812,187,2349,433,1828,225,2493,247,1461,310,2023,115,814,221,1153,19,320,121,463,1628,10852,1563,14039
LGA31950,0,10,3,12,0,11,7,14,0,21,3,26,3,23,9,33,0,23,0,22,0,22,11,32,0,15,0,15,0,0,0,0,0,0,0,0,3,116,35,149,0,4,3,7,0,11,3,12,3,19,10,24,0,15,6,19,0,14,8,20,3,19,6,27,3,5,3,11,0,0,0,0,0,0,0,0,9,86,28,120,0,10,7,15,0,17,6,29,3,33,15,52,3,33,13,46,0,38,5,47,3,37,14,60,3,18,3,22,0,3,0,3,0,0,0,0,15,200,66,274
LGA32080,198,4201,643,5045,237,3758,542,4531,574,8311,1235,10123,855,8605,1143,10599,1040,8816,1324,11183,1026,7424,1037,9482,611,5175,813,6599,229,1956,448,2629,50,510,135,698,4813,48764,7324,60893,244,3935,582,4762,274,3808,541,4618,944,9015,1245,11202,1562,9379,1152,12096,1721,8850,1125,11700,1576,6988,979,9542,817,4479,728,6026,281,1891,512,2682,42,954,285,1284,7453,49295,7150,63897,444,8139,1224,9803,509,7562,1077,9148,1516,17331,2478,21325,2411,17985,2291,22691,2758,17666,2452,22880,2599,14407,2012,19022,1424,9653,1546,12624,508,3846,963,5312,98,1460,426,1981,12260,98055,14477,124795
LGA32250,3,36,13,48,3,52,9,68,6,95,21,121,3,90,21,112,16,112,21,143,5,107,16,139,3,91,25,116,0,26,15,41,0,5,3,9,40,616,139,803,3,37,6,46,3,50,12,68,6,103,29,132,5,100,18,120,16,108,25,151,12,95,15,120,5,68,5,81,0,19,3,23,0,0,0,0,52,573,119,743,3,76,20,97,4,105,21,135,9,197,50,259,14,185,38,240,32,221,44,295,16,207,36,260,6,156,30,193,0,50,19,64,0,9,3,10,92,1193,256,1548
LGA32260,41,638,125,809,41,648,84,769,108,1245,239,1594,146,1189,181,1518,223,1602,249,2083,297,1756,277,2328,141,1328,271,1735,78,688,140,909,18,186,48,256,1092,9290,1617,11994,31,597,120,752,54,525,85,666,169,1199,208,1571,246,1213,177,1630,370,1414,192,1971,406,1513,226,2149,198,1126,211,1530,81,589,128,799,14,316,58,392,1574,8497,1399,11469,71,1243,247,1562,94,1168,166,1435,269,2450,448,3164,388,2406,352,3148,599,3012,440,4050,705,3269,503,4483,336,2453,477,3266,155,1281,270,1712,36,505,107,647,2658,17781,3020,23462
LGA32270,37,651,147,843,30,724,128,873,116,1835,383,2342,162,1676,380,2214,182,1593,380,2154,113,1261,240,1613,63,613,130,804,29,208,64,303,3,48,12,65,731,8600,1864,11196,33,566,130,726,39,678,125,842,179,1829,287,2297,211,1480,236,1924,213,1362,245,1815,181,973,176,1328,67,462,91,620,24,173,55,256,3,48,19,67,954,7573,1352,9878,72,1222,281,1571,68,1401,246,1720,295,3664,672,4634,369,3152,613,4135,392,2950,621,3964,291,2235,412,2939,135,1071,216,1424,53,388,123,558,4,98,33,133,1681,16173,3225,21073
LGA32310,20,381,54,455,23,216,50,279,33,450,69,557,66,522,96,689,85,514,92,694,80,628,96,796,70,502,101,674,32,233,75,341,9,52,16,76,417,3494,653,4562,21,351,62,433,17,221,31,273,71,490,69,629,117,543,80,736,140,581,103,820,155,519,91,764,86,453,105,638,10,243,82,335,0,100,25,133,611,3504,648,4761,41,733,116,893,36,436,78,553,103,938,142,1187,180,1063,171,1420,227,1090,192,1513,230,1146,185,1563,154,957,204,1313,43,478,157,675,9,156,42,211,1027,6997,1299,9327
LGA32330,3,63,0,73,0,42,13,51,7,54,6,66,6,57,3,67,3,57,4,64,9,37,3,42,0,8,0,8,0,3,0,3,0,0,0,0,28,320,32,374,3,55,3,60,4,46,15,65,5,76,3,83,4,69,5,80,11,50,3,66,5,36,0,44,3,25,0,27,0,5,0,5,0,5,0,5,39,360,25,433,5,116,5,134,10,94,20,122,16,124,11,148,10,122,8,146,14,109,8,121,8,72,3,82,3,32,0,37,0,10,0,10,0,5,0,5,65,683,57,807
LGA32450,4,67,17,88,4,88,14,103,11,233,59,308,19,192,47,262,12,192,37,243,13,180,39,229,5,100,29,129,0,23,8,28,3,3,7,11,69,1072,261,1397,3,47,15,64,3,75,20,100,13,193,39,245,15,129,26,167,13,137,19,168,15,119,31,159,7,58,16,77,3,19,11,30,0,3,3,7,69,769,183,1016,3,114,30,145,5,158,33,202,27,425,99,551,33,317,72,422,27,329,55,416,20,296,73,385,6,153,44,206,4,40,20,64,3,7,11,20,140,1838,435,2416
LGA32500,9,72,29,111,15,102,50,159,28,168,67,264,31,191,54,275,19,234,59,317,26,252,59,335,15,240,79,341,7,67,23,91,0,3,6,18,146,1336,421,1901,10,50,27,84,17,82,28,127,33,190,47,270,39,169,20,232,34,178,39,249,56,226,69,348,24,109,31,166,6,29,9,50,0,10,3,18,210,1048,278,1534,16,122,51,194,28,182,76,291,59,360,114,528,67,356,80,507,51,420,95,563,76,480,126,686,40,349,110,506,11,94,35,136,0,18,14,31,357,2381,698,3439
LGA32600,0,3,0,4,0,8,5,11,0,12,4,21,3,8,6,22,0,16,6,20,3,18,8,32,0,5,0,8,0,3,0,3,0,3,0,4,6,75,40,126,0,0,0,0,0,5,0,8,3,12,7,18,0,13,4,23,3,13,11,26,3,10,5,20,0,7,3,10,0,3,0,3,0,0,0,0,9,73,29,108,0,3,0,4,0,14,4,24,3,22,15,37,3,27,15,45,3,29,14,49,3,27,13,49,0,16,5,20,0,5,0,4,0,3,0,4,15,145,66,229
LGA32750,0,17,0,17,0,14,0,20,0,17,0,22,0,18,0,18,0,13,7,18,0,16,0,18,0,12,0,9,0,0,0,0,0,0,0,0,4,105,14,118,0,10,8,14,0,11,8,13,0,25,3,26,0,17,0,17,0,20,3,23,3,13,3,14,0,3,3,5,0,0,0,0,0,0,0,0,3,90,24,114,0,23,6,32,0,29,9,38,0,42,6,43,0,30,0,33,0,32,9,42,4,23,5,36,0,14,3,17,0,0,0,0,0,0,0,0,10,188,43,239
LGA32770,0,46,3,47,5,61,3,69,3,85,5,96,8,78,3,87,0,41,0,39,3,37,0,39,0,9,0,13,0,0,3,5,0,0,0,0,25,352,20,399,0,56,10,75,7,45,6,54,13,106,3,127,16,74,0,85,3,52,3,59,3,37,6,39,0,15,0,15,0,4,0,3,0,0,0,0,43,389,34,466,0,103,16,119,10,105,8,126,21,193,11,222,22,150,3,177,3,89,3,102,5,66,3,80,0,24,0,24,0,9,3,12,0,0,0,0,71,736,51,862
LGA32810,4,228,40,274,8,199,43,247,34,561,107,707,41,607,121,776,75,704,116,896,79,761,153,989,50,511,101,665,19,203,70,298,0,39,35,72,322,3804,789,4911,10,195,50,257,9,212,45,268,50,617,149,810,92,590,115,800,115,669,127,915,126,645,130,904,80,407,107,595,18,168,57,237,3,39,47,86,511,3530,830,4867,17,419,94,529,19,407,89,511,80,1177,259,1520,139,1195,239,1573,189,1378,237,1810,206,1398,283,1893,133,918,212,1259,37,366,127,535,3,78,77,159,828,7340,1618,9783
LGA33100,0,12,6,18,0,16,0,19,0,40,12,53,0,31,8,37,4,54,5,66,3,61,8,74,0,55,10,71,0,17,5,26,0,0,0,0,16,294,57,362,0,9,0,13,0,8,0,10,3,48,8,56,0,30,4,40,0,48,10,56,12,37,3,54,3,32,8,42,0,11,3,15,0,0,0,4,27,224,36,288,0,21,4,32,0,26,0,27,3,85,18,112,3,63,13,74,6,102,18,126,16,97,13,127,11,87,16,108,0,26,6,41,0,3,0,3,44,516,98,651
LGA33200,0,32,11,45,3,40,13,59,5,74,14,92,3,64,9,80,9,92,7,112,7,97,14,121,6,77,13,95,3,32,3,36,0,8,0,12,43,519,82,643,0,32,3,29,0,39,6,46,10,62,14,93,9,65,6,79,13,85,7,112,21,66,12,98,5,87,20,110,7,27,8,41,0,16,0,21,71,482,77,625,0,63,14,70,3,80,18,103,18,136,21,179,13,127,12,156,29,181,16,223,28,160,25,215,12,163,31,206,5,56,10,78,0,22,0,28,112,1000,158,1269
LGA33220,153,2349,333,2834,133,1772,304,2204,343,3317,568,4221,574,3885,661,5121,736,4721,632,6086,1068,5569,771,7402,950,6250,903,8103,434,2943,634,4007,76,743,224,1046,4455,31541,5027,41025,189,2267,279,2734,178,1708,177,2069,649,3455,360,4469,1031,4103,445,5584,1371,4935,548,6851,1812,5656,705,8170,1259,5862,910,8031,411,2889,706,4009,68,1129,310,1513,6979,32008,4445,43429,341,4608,611,5564,312,3483,485,4275,991,6768,926,8687,1598,7991,1105,10698,2107,9648,1178,12938,2881,11217,1476,15576,2211,12112,1811,16133,841,5836,1340,8018,145,1878,539,2553,11434,63551,9477,84458
LGA33360,73,1735,230,2038,73,1650,177,1893,226,3528,381,4141,343,3731,403,4470,398,3937,490,4831,416,3211,372,3994,198,1761,215,2175,92,633,127,849,13,138,35,186,1828,20330,2428,24583,80,1474,205,1760,76,1504,160,1739,384,3679,355,4414,518,3505,355,4376,615,3400,367,4380,520,2490,265,3275,251,1500,226,1980,70,654,146,873,11,256,54,325,2524,18464,2130,23119,153,3208,441,3803,147,3150,334,3638,613,7209,732,8552,861,7233,752,8849,1012,7346,856,9209,933,5701,637,7270,445,3264,439,4150,159,1289,270,1721,28,394,86,509,4349,38792,4559,47696
LGA33430,555,14965,1725,17242,733,15908,1692,18332,1998,31558,3533,37081,2838,31031,3111,36974,3530,29380,3090,36004,3469,24032,2730,30231,2508,20550,2544,25601,1251,9603,1809,12661,379,2894,1079,4345,17263,179912,21307,218486,765,14636,1505,16903,928,16299,1701,18929,3050,32800,3488,39337,4927,31643,3024,39593,5981,29903,3079,38965,6385,24643,2832,33851,3884,20685,2748,27312,1351,10369,2459,14181,290,5039,1972,7302,27561,186014,22815,236378,1320,29598,3230,34146,1660,32209,3394,37264,5045,64354,7024,76418,7764,62670,6139,76569,9516,59288,6170,74972,9851,48671,5560,64086,6392,41233,5289,52921,2603,19972,4268,26838,668,7929,3050,11643,44822,365925,44117,454866
LGA33610,10,247,40,296,3,241,22,273,38,484,79,597,46,485,65,596,74,565,90,726,77,588,89,758,42,397,87,529,22,218,56,300,6,55,18,85,327,3282,553,4156,8,235,54,296,13,227,28,271,59,568,76,697,93,482,69,644,112,499,65,676,109,459,87,656,65,384,94,540,29,207,59,288,6,99,27,129,497,3153,544,4201,20,487,90,595,20,470,50,547,93,1047,156,1292,139,966,136,1240,186,1058,160,1403,187,1046,175,1412,108,783,179,1069,49,427,117,591,16,157,39,216,823,6436,1096,8356
LGA33620,83,1200,167,1454,65,935,105,1105,164,1742,217,2127,277,1944,232,2453,427,2566,351,3347,524,2892,389,3812,405,2746,432,3587,161,1133,293,1579,36,276,113,427,2150,15434,2301,19878,79,1128,157,1367,81,892,89,1062,333,1810,195,2334,493,2047,214,2758,752,2555,322,3630,863,2692,348,3912,536,2487,397,3420,181,1040,317,1533,33,388,195,616,3342,15052,2240,20624,159,2326,325,2817,147,1830,193,2171,494,3555,413,4459,770,3994,453,5210,1178,5125,673,6976,1385,5589,741,7719,943,5235,831,7007,333,2170,604,3108,65,663,305,1037,5492,30485,4533,40504
LGA33800,14,298,49,365,19,217,29,256,34,369,41,443,57,415,44,514,96,583,73,747,124,690,85,899,88,622,100,806,28,372,71,477,11,115,34,161,472,3682,524,4669,13,238,34,283,17,157,27,192,41,324,40,403,93,406,44,539,157,554,59,773,201,560,74,826,113,504,93,707,46,381,93,520,13,197,46,253,693,3311,508,4506,33,532,81,647,32,373,47,449,71,692,75,842,148,816,85,1053,254,1132,137,1521,319,1251,157,1728,197,1126,191,1518,80,751,168,994,22,312,80,414,1159,6995,1027,9178
LGA33830,9,20,17,47,3,21,11,38,18,44,3,70,19,51,5,75,12,37,3,53,8,29,0,40,3,5,3,10,0,11,0,11,0,3,0,7,76,231,49,352,10,24,14,50,8,26,3,40,28,45,0,72,13,39,0,56,11,32,0,45,9,17,0,27,3,15,0,16,0,6,0,8,0,0,0,0,86,205,21,313,14,50,31,89,12,52,14,81,43,91,7,139,38,92,4,130,22,70,5,101,22,42,0,69,4,18,3,28,0,10,0,17,0,3,0,7,160,438,65,658
LGA33960,336,5861,700,6896,328,5966,649,6944,995,12155,1258,14403,1295,10525,1083,12896,1389,9614,998,12008,1311,7292,827,9436,709,4702,624,6041,291,2082,401,2776,70,627,143,835,6722,58831,6682,72237,389,5559,617,6562,530,5904,550,6989,1748,12701,1160,15608,2153,10244,919,13318,2256,9174,943,12371,2049,6786,785,9629,939,4664,685,6298,325,2554,518,3395,44,1145,224,1409,10433,58724,6414,75578,721,11421,1318,13460,862,11866,1202,13931,2743,24851,2422,30018,3450,20767,2006,26216,3647,18789,1944,24379,3364,14080,1613,19058,1656,9370,1310,12336,610,4639,921,6165,108,1767,368,2246,17158,117554,13096,147814
LGA33980,15,415,77,511,22,487,141,647,89,1517,508,2119,125,1471,386,1990,87,1199,317,1609,93,866,244,1202,28,355,83,473,9,98,25,130,0,21,3,26,470,6444,1788,8699,25,395,88,509,26,484,112,631,124,1507,258,1895,135,1148,196,1479,134,871,175,1177,105,549,89,751,31,241,50,325,9,99,21,128,0,36,7,49,586,5343,1010,6937,37,809,167,1020,46,973,256,1273,220,3027,766,4014,267,2625,583,3470,220,2075,494,2783,194,1415,339,1948,60,599,139,797,17,198,43,255,3,59,11,72,1061,11785,2801,15641
LGA34420,0,37,0,42,0,35,0,33,3,52,15,70,3,58,0,62,6,45,0,54,3,40,0,45,0,15,0,21,0,0,0,0,0,0,0,0,21,286,12,321,3,25,6,33,0,48,0,43,4,78,3,88,4,63,0,69,8,54,0,64,7,46,0,49,0,14,0,14,0,0,0,0,0,3,0,3,24,332,11,371,3,59,7,69,0,77,0,82,9,130,14,154,8,122,0,133,15,105,0,119,7,83,0,95,0,32,0,35,0,5,0,5,0,7,0,7,44,622,27,694
